name,place_id,RY,Monday F,Tuesday F,Wednesday F,Thursday F,Friday F,Saturday F,Sunday F,Total F,Conclusion,categories_yelp,types,geometry_location_lng,geometry_location_lat
Life of Pie,ChIJ-_QJNugFzkwRhrzWR1mx86I,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Bakeries,"bakery,restaurant,food,point of interest,store,establishment",-75.6829832,45.3932721
Life of Pie,ChIJ-_QJNugFzkwRhrzWR1mx86I,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Bakeries,"bakery,restaurant,food,point of interest,store,establishment",-75.6829832,45.3932721
Homestead Pub,ChIJ-0Mwg_V5zkwRpWKOlcZ0YpI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"bar,point of interest,establishment",-75.2808325,45.2721689
Homestead Pub,ChIJ-0Mwg_V5zkwRpWKOlcZ0YpI,2020-05-27,0,-0.016666667,-0.016666667,0,0,0,-0.016666667,-0.05,Remained Open,NA,"bar,point of interest,establishment",-75.2808325,45.2721689
New York Fries - Carlingwood Mall,ChIJ-0oPX8oGzkwRDxLB6t1OfLE,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Fast Food,"restaurant,food,point of interest,establishment",-75.7686794,45.3731497
New York Fries - Carlingwood Mall,ChIJ-0oPX8oGzkwRDxLB6t1OfLE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Fast Food,"restaurant,food,point of interest,establishment",-75.7686794,45.3731497
Wing Hing Chinese Food Take Out,ChIJ-0QyLaUHzkwRmH0_0jLHQNI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Chinese, Imported Food","restaurant,food,point of interest,establishment",-75.72628,45.337505
Wing Hing Chinese Food Take Out,ChIJ-0QyLaUHzkwRmH0_0jLHQNI,2020-05-27,0,0,0,0,-0.016666667,-0.016666667,0,-0.033333333,Remained Open,"Chinese, Imported Food","restaurant,food,point of interest,establishment",-75.72628,45.337505
Milano Pizzeria,ChIJ-0QyLaUHzkwRuRu3sJZjoKw,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Pizza,"meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.726549,45.3376164
Milano Pizzeria,ChIJ-0QyLaUHzkwRuRu3sJZjoKw,2020-05-27,-0.016666667,-0.016666667,-0.016666667,-0.016666667,0,0,-0.016666667,-0.083333333,Remained Open,Pizza,"meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.726549,45.3376164
